text	id	sentiment	annotator	annotation_id	created_at	updated_at	lead_time
Ya Allah seriouslah sampai mcm ni. johor are u ok? My pray always with you. Semoga kita semua dijauhi drpd Covid https://t.co/L8d9XB1BqX	80181	Neutral	17	1435	2022-01-23T09:06:14.298243Z	2022-01-23T09:06:14.298257Z	4.791
@Izzzzzzz___ Patutlah jodoh lambat. Ah lantak lah.	80180	Negative	17	1436	2022-01-23T09:06:18.293201Z	2022-01-23T09:06:18.293214Z	2.675
bukan cultural appropriation. dah Tuhan kasi aku konek negro	80179	Negative	17	1437	2022-01-23T09:06:23.651346Z	2022-01-23T09:06:23.651359Z	4.112
@msianinsight Punya byk isu korang boleh gado isu Logo? Yg sorang bersemangat kemain...mcm abis isu dah logo gak y https://t.co/ils7NdIQpj	80178	Positive	17	1438	2022-01-23T09:06:47.768294Z	2022-01-23T09:06:47.768305Z	14.222
Suruh tangkap gambaq bagi dia tengok dulu tu tak boleh blah laaa adeiiii	80177	Negative	17	1439	2022-01-23T09:06:54.440709Z	2022-01-23T09:06:54.440720Z	5.391
Just posted a photo @ Bandar Tanah Merah, Kelantan https://t.co/ex1wVT89al	80176	Neutral	17	1440	2022-01-23T09:06:59.954271Z	2022-01-23T09:06:59.954283Z	4.196
@STRAWB3RRYMOO nanti kalau dh boleh rentas negeri, support sektor pelancongan negara sendiri. this statement, kalau nk feel the real one, pergi lah Penang Museum War. the vibe is just so different especislly the bilik2 beret	80175	Positive	17	1441	2022-01-23T09:07:34.102323Z	2022-01-23T09:07:34.102335Z	11.373
Nikmat tidurrrrrrr sampai 9.30 ni. Semalam berjaga sgt	80174	Positive	17	1442	2022-01-23T09:07:39.407342Z	2022-01-23T09:07:39.407355Z	4.081
Career aku sgt sesuai dgn aku ahahahhahahahahah bak kata mimi aku suka bercakap	80141	Positive	17	1443	2022-01-23T10:33:38.003404Z	2022-01-23T10:33:38.003417Z	14.58
@sutramaya Dahlah interface hauk. Content limited. MANA CRUELLA AKU???? bengang je	80140	Negative	17	1444	2022-01-23T10:33:52.482272Z	2022-01-23T10:33:52.482283Z	10.074
Nak tune guitar,bukak apps speedtest kepala otak dia lah	80138	Neutral	17	1445	2022-01-23T10:34:26.182780Z	2022-01-23T10:34:26.182795Z	9.413
Susah jugak eh, nak minta org volunteer tapi satgi tetiba suruh orang balik kolej pula	80137	Negative	17	1446	2022-01-23T10:34:38.055196Z	2022-01-23T10:34:38.055211Z	10.543
@H4T14K4LN4L42 @FerdinandHaean3 Itulah	80135	Neutral	17	1447	2022-01-23T10:34:57.923831Z	2022-01-23T10:34:57.923844Z	10.128
Alhamdulillah rezeki Ya Allah. Amin https://t.co/XAzzX31MoE	80132	Positive	17	1448	2022-01-23T10:35:22.702915Z	2022-01-23T10:35:22.702929Z	3.831
Rehat tidak bangun2 is better i think.	79589	Negative	17	1449	2022-01-23T10:49:26.482658Z	2022-01-23T10:49:26.482670Z	32.399
hahahahahahahah Tersembur aku!	76565	Positive	28	1507	2022-01-23T13:00:10.449139Z	2022-01-23T13:00:10.449147Z	1.709
Macam ini lah lumrah hidup nak survive kena kerja. Fuhh weekend berapa hari je siak cutinya.	75071	Negative	28	1502	2022-01-23T12:49:23.941011Z	2022-01-23T12:49:23.941027Z	3.11
Penat la kepala otak ni	75070	Negative	28	1503	2022-01-23T12:49:27.043285Z	2022-01-23T12:49:27.043297Z	1.218
@nazif3767 Fak tiru	74995	Negative	28	1508	2022-01-23T13:02:05.425770Z	2022-01-23T13:02:05.425789Z	14.387
Solidariti untuk semua penghasut!	68407	Negative	27	4629	2022-02-15T14:06:07.814609Z	2022-02-15T14:06:07.814622Z	1.553
*CHOCODAPS CHOCOLATE BAR /50GRAM* chocolate bar ni kosong tiada badam dalamnya. Rasanya mcm milk choc. Tapi tak ter https://t.co/1AGvqkHO1v	68405	Neutral	27	4627	2022-02-15T14:06:03.096117Z	2022-02-15T14:06:03.096132Z	2.431
@TunCarlos666 Aku orang johor la mat	68404	Neutral	27	4626	2022-02-15T14:06:00.237487Z	2022-02-15T14:06:00.237499Z	1.53
kenapa tiada kamus bahasa melayu kuno ye? bagaimana sebuah bahasa kuno yang berfungsi sebagai lingua franca di Asia Tenggara tiada yang mengusahakan sebuah kamus terpercaya, tetapi kamus Bahasa Bali Kuno dan Bahasa Jawa Kuno dapat diusahakan? Atau saya sahaja tidak ketemu?	68403	Neutral	27	4625	2022-02-15T14:05:58.277090Z	2022-02-15T14:05:58.277103Z	3.436
Masa kes kematian dorang berpuluh ribu sehari. Kes active kita baru seratus dua. Sekarang dorang dah tak payah ja https://t.co/XyncTXVez4	68401	Negative	27	4623	2022-02-15T14:05:49.303411Z	2022-02-15T14:05:49.303423Z	2.293
@Haiti274 @BudakBumBesar @mrfzr13 Jom bby	68400	Neutral	27	4622	2022-02-15T14:05:46.608462Z	2022-02-15T14:05:46.608476Z	1.629
COD : area muar, tangkak, pagoh POSTAGE : RM7 SM	68399	Neutral	27	4621	2022-02-15T14:05:44.594642Z	2022-02-15T14:05:44.594658Z	1.329
@zaidibrahim Ku Li isnt relevan.	68398	Negative	27	4620	2022-02-15T14:05:42.876395Z	2022-02-15T14:05:42.876407Z	2.199
Dr haiwan ni tunjuk cara nak sertu atau samak selepas terkena najis berat cth. terpegang anjing. Sumpah senang je nak sertu. Kenapa benda ni tak diajar sejelas ni disekolah? I selalu ingat sertu tu complicated. https://t.co/SzDAlU5brg	68397	Neutral	27	4619	2022-02-15T14:05:40.283997Z	2022-02-15T14:05:40.284013Z	4.384
Ya Allah semua ayah dia sihat seperti selalu	68395	Positive	27	4617	2022-02-15T14:05:33.411986Z	2022-02-15T14:05:33.412000Z	5.652
Ya!! Ini Waibi saya !! Veerapan (ADUN DAP REPAH TAMPIN) Waibi saya memang bingai tak sembunyi, Dulu parking kereta Exco dekat (P) OKU Harini masuk rumah orang pakai kasut Inilahlah dia Waibi saya yang biadap !!! https://t.co/Nu5VzFRPJz	68394	Negative	27	4616	2022-02-15T14:05:27.395220Z	2022-02-15T14:05:27.395230Z	2.69
Tunggang lagi bang. Minyak murah katanya. Golongan kayangan nie apa ja tak murah. Semua murah. Cukai ja mahai. Ha https://t.co/yeHfnnlJim	68393	Negative	27	4615	2022-02-15T14:05:24.298192Z	2022-02-15T14:05:24.298208Z	2.332
@chuyob Hari2 mandi kolam takley jadi	68392	Neutral	27	4614	2022-02-15T14:05:20.956849Z	2022-02-15T14:05:20.956861Z	2.04
Pamer perut kembung dulu ahhh @jnderaI https://t.co/ULVYWJBJQA	68391	Neutral	27	4613	2022-02-15T14:05:18.516634Z	2022-02-15T14:05:18.516646Z	1.858
@emirsaddiq sedap ke	68390	Neutral	27	4612	2022-02-15T14:05:16.224768Z	2022-02-15T14:05:16.224779Z	1.247
Kata Vellfire KEP 5000 ni untuk tetamu SADA. Kenderaan milik SADA. Ni awat plate tulis Menteri Besar Kedah? Masalah ayaq kat Kedah pun masih banyak tak selesai. MB bermewah dengan kenderaan baru! https://t.co/XFUAfG9Gdm	68386	Negative	27	4608	2022-02-15T14:05:04.153579Z	2022-02-15T14:05:04.153596Z	3.662
Kalau ade lebih nak satu. Eh.	68385	Neutral	27	4607	2022-02-15T14:05:00.108912Z	2022-02-15T14:05:00.108925Z	1.208
@malaysiakini Good luck, DSAI Hai semua. Rumah keluargasaya musnah pada beberapa hari lepas kerana kebakarandan https://t.co/r6zFQ5dGNB	68383	Negative	27	4605	2022-02-15T14:04:52.455308Z	2022-02-15T14:04:52.455332Z	6.143
@hannahyeoh @limlipeng Macam Kepong laa YB. Nasib satu jiran.	68382	Neutral	27	4604	2022-02-15T14:04:36.571580Z	2022-02-15T14:04:36.571595Z	1.963
Jom saksikan live bicara santai bersama Pengarah Kesihatan MPK, Azmi Muji pada 8 Jun 2021 (Selasa) jam 10 pagi di F https://t.co/aMYmhNtZAg	68380	Neutral	27	4602	2022-02-15T14:04:27.237887Z	2022-02-15T14:04:27.237900Z	2.293
Menerima perkhabaran sedih, rumah kawan ibu saya hangus dijilat api di Kuala Terengganu hari ini &amp; ibu beliau telah meninggal dunia dalam kejadian tersebut. Tinggal berdua dengan suami. Hanya suami yang selamat. Salam takziah. Al-Fatihah https://t.co/XpCaxiEHGl	68379	Negative	27	4601	2022-02-15T14:04:24.516851Z	2022-02-15T14:04:24.516864Z	2.223
penat tapi fun	68378	Positive	27	4600	2022-02-15T14:04:21.853024Z	2022-02-15T14:04:21.853038Z	1.836
@ahmadsyaminn tanak. merajuk. you suka sangat pegi johor lama lama en https://t.co/5aDvTrdh8g	68377	Neutral	27	4599	2022-02-15T14:04:19.609080Z	2022-02-15T14:04:19.609094Z	2.506
@Nshakilarazali Xrety la shoppee.. Aq bru daftar shop.. Tp tak buh produk lg	68376	Neutral	27	4598	2022-02-15T14:04:16.688635Z	2022-02-15T14:04:16.688649Z	3.86
Laptop pulak alahai berat macam lori . Kalau baling boleh koma bang Jamal	68375	Negative	27	4597	2022-02-15T14:04:12.439371Z	2022-02-15T14:04:12.439409Z	1.637
Buku Lawas&gt; Suka Duka Pelajar Indonesia Di Jepang; Sekitar Perang Pasifik 1942-1945. Tahun 1990. 535 Halaman. https://t.co/Ffflmb3mYI	68374	Neutral	27	4596	2022-02-15T14:04:10.411981Z	2022-02-15T14:04:10.411993Z	2.061
@ftnhasan Hahaha mai mai.. Umi aku terpengaruh dgn fb page masakan terengganu. Hari tu laksa hari ni laksam	68373	Neutral	27	4595	2022-02-15T14:04:07.905810Z	2022-02-15T14:04:07.905826Z	2.774
Semoga adik terus kuat tau stay strong	68371	Positive	27	4593	2022-02-15T14:04:01.353844Z	2022-02-15T14:04:01.353859Z	1.757
Kalau lh jd sukarelawan ni permanent.. helok dh tu	68370	Neutral	27	4592	2022-02-15T14:03:59.195334Z	2022-02-15T14:03:59.195349Z	2.474
Confim flop kalau masuk EPL..x yah lah	68369	Negative	27	4591	2022-02-15T14:03:56.294106Z	2022-02-15T14:03:56.294124Z	2.193
Geram je ek baca komen kt page malaysia embassy kt sgp. Kerajaan da bantu bg extension 2 tahun pun nk komplen lg... defakkk	68368	Negative	27	4590	2022-02-15T14:03:53.690507Z	2022-02-15T14:03:53.690517Z	1.473
Entah ngapa feeling aja, belum saat nya inggris juara, meskipun skuat nya sangat potensial diisi pemain pemain bint https://t.co/8lXJm9ZymA	68367	Neutral	27	4589	2022-02-15T14:03:51.775947Z	2022-02-15T14:03:51.775987Z	52.754
Feri yang membawa kenderaan orang ramai menyeberangi Sungai Rambungan, kira-kira 25km dari bandaraya Kuching yang menuju ke destinasi masing-masing di Lundu dan Sematan. Seluruh negeri Sarawak diletakkan di bawah PKP mulai 29 Mei hingga 14 Jun. #JapenSarawak #sodiakroks https://t.co/8typgjdDuv	68366	Neutral	27	4588	2022-02-15T14:02:58.640847Z	2022-02-15T14:02:58.640866Z	3.773
@fwmohamad_ Dah move on dah. Malas nk fikir panjang2	68365	Negative	27	4587	2022-02-15T14:02:54.444766Z	2022-02-15T14:02:54.444778Z	1.574
Member tu aku tengok kurus aje, tembam mananya	68364	Neutral	27	4586	2022-02-15T14:02:52.464829Z	2022-02-15T14:02:52.464842Z	5.181
Duh Gusti...	68363	Neutral	27	4585	2022-02-15T14:02:46.884649Z	2022-02-15T14:02:46.884658Z	1.158
Non stop pulak tu	68362	Neutral	27	4584	2022-02-15T14:02:45.408133Z	2022-02-15T14:02:45.408142Z	1.119
#Trivia Jalan Persekutuan #Kedah FT 118 J. Mata Ayer - Simpang Kenyum sek 2.70 laluan ini sarat sejarah dahulu dibina dengan batu marmar kanan - keadaan sebelum ini #THBMKedah #THBMHQ #InfraRakyat #ZonUtara #TogetherWeDeliver https://t.co/FNC6qXhPhn	68361	Neutral	27	4583	2022-02-15T14:02:43.927731Z	2022-02-15T14:02:43.927743Z	51.068
@HanysJehari @intnshn Betul tu kak. Asal kelantan je bising mcm negeri lain terpaling suci tak pernah bt dosa.	68360	Negative	27	4582	2022-02-15T14:01:52.437279Z	2022-02-15T14:01:52.437293Z	3.208
DS @NajibRazak jawab sat	68359	Neutral	27	4581	2022-02-15T14:01:48.867591Z	2022-02-15T14:01:48.867599Z	2.25
Oh parlimen tak boleh buka, tapi program macam ni boleh pulak https://t.co/2IuleYIcfc	68358	Negative	27	4580	2022-02-15T14:01:46.245702Z	2022-02-15T14:01:46.245719Z	1.278
Lgbt ni memang patut kena perang.	68357	Negative	27	4579	2022-02-15T14:01:44.564226Z	2022-02-15T14:01:44.564249Z	1.709
Kalau org kau tak kenal bukan main, kalau orang yg kau dah kenal ? Pi butohhh ! kecikkan cirlce anda. Ianya berbaloi.	68356	Negative	27	4578	2022-02-15T14:01:42.452155Z	2022-02-15T14:01:42.452170Z	4.546
@ahmadmuayyad_ Harus mendapat tepukan ini	68354	Neutral	27	4576	2022-02-15T14:01:34.800236Z	2022-02-15T14:01:34.800250Z	4.937
"Syed Saddiq Tuntut Kerajaan Strukturkan Semula Sistem Percukaian Masa pandemik, orang yang maha kaya terus maha kaya. Mereka dapat tambahkan aset dan personal income. Realitinya bila saya ke Muar, lebih ramai orang yang hilang kerja. Yang tak hilang kerja kena potong gaji "" https://t.co/IUFCkPX59Q"	68353	Negative	27	4575	2022-02-15T14:01:29.452710Z	2022-02-15T14:01:29.452725Z	3603.094
@cikbulanrebel Hahahaha betul. Lama gila aku tak layan hindustan	68352	Neutral	27	4574	2022-02-15T13:01:25.364651Z	2022-02-15T13:01:25.364660Z	1.921
aduh teringin pavlova lagii	68351	Neutral	27	4573	2022-02-15T13:01:23.046639Z	2022-02-15T13:01:23.046648Z	301.65
orang kuantan yg ada buat delivery makanan apa2 tu boleh lah letak di bawah ini ayuh sama2 kita bantu satu sama lain @KuantanTV	68350	Neutral	27	4572	2022-02-15T12:38:22.025889Z	2022-02-15T12:38:22.025898Z	4.103
@syueare_da inshaAllah dear	68349	Positive	27	4571	2022-02-15T12:38:17.616209Z	2022-02-15T12:38:17.616218Z	1.522
@jayroslan Siapa RR? Rizman Ruzaini? Rico Rinaldi? Ramona Rahman?	68348	Neutral	27	4570	2022-02-15T12:38:15.771136Z	2022-02-15T12:38:15.771158Z	2.25
Ramai yg tahu betapa dalamnya benci MP Larut dgn DSAI. Semenjak 90an lagi.	68347	Negative	27	4569	2022-02-15T12:38:13.203055Z	2022-02-15T12:38:13.203064Z	4.533
babi lah. siapa yg rt tweet dia masuk timeline aku ni. semak babi	68342	Negative	27	4564	2022-02-15T12:37:42.714452Z	2022-02-15T12:37:42.714461Z	1.438
@SyazzaTajul Arghhh sedapnya kacang botol,daun selom, petai &amp; lain lain	68341	Positive	27	4563	2022-02-15T12:37:40.974477Z	2022-02-15T12:37:40.974485Z	1.987
Apa ni setan ahahahah	68340	Negative	27	4562	2022-02-15T12:37:38.641935Z	2022-02-15T12:37:38.641944Z	1.585
Saya rindu anak anak fruit	68339	Positive	27	4561	2022-02-15T12:37:36.761058Z	2022-02-15T12:37:36.761067Z	1.941
Fuhhhhhh rogol ey	68338	Negative	27	4560	2022-02-15T12:37:34.463992Z	2022-02-15T12:37:34.464000Z	1.585
@YaWauSin_ @aminmubarak_ @zatizain Oh maafkan saya...	68337	Neutral	27	4559	2022-02-15T12:37:32.536403Z	2022-02-15T12:37:32.536412Z	4.597
Jaga hati org... Hbis hati aku sapa mok jaga.... Kimakkk...	68335	Negative	27	4557	2022-02-15T12:37:15.899029Z	2022-02-15T12:37:15.899038Z	14.114
"""ih ada cewek cantik. but, she is mine hihi"" [ #TMSD #JUNKYU #TreasureMakerSelcaDay #TeumeSelcaDay @treasuremembers ] https://t.co/E5vsY3LrdP"	68333	Positive	27	4555	2022-02-15T12:36:49.703349Z	2022-02-15T12:36:49.703358Z	5.036
Harini sumpah aq rasa malass, nak bangun katil pun amals, makan pun malass, semua aq malas, mood aq punn swing mcm kne period dh ni	68332	Negative	27	4554	2022-02-15T12:36:44.338526Z	2022-02-15T12:36:44.338535Z	2927.145
"@dhiauddinsaad @mahfuzah_mansor Berlaku di ""Antah Berantah"" KUASA SANG PEMERINTAH vs KIFARAH ? Wabak terkena Sang https://t.co/ilN0rlLaUE"	68331	Neutral	27	4553	2022-02-15T11:47:56.542956Z	2022-02-15T11:47:56.542965Z	5.115
@zjoohyn Adanya batu. Mau?	68330	Neutral	27	4552	2022-02-15T11:47:51.051572Z	2022-02-15T11:47:51.051580Z	2.731
Allah, sedapppp kot makan situ	68329	Positive	27	4551	2022-02-15T11:47:48.024368Z	2022-02-15T11:47:48.024378Z	1.521
@sy4tulaina aku asyik tido lambat bangun awal jadi tak betul dah otak	68328	Negative	27	4550	2022-02-15T11:47:46.187963Z	2022-02-15T11:47:46.187973Z	2.231
Driver taman medan memang gila2 la siut	68327	Negative	27	4549	2022-02-15T11:47:43.649709Z	2022-02-15T11:47:43.649718Z	2.591
Ibu bapa memang ada hak untuk pantau aktiviti anak-anak, terutama zaman sekarang banyak anasir luar (paling teruk, sex grooming). Namun, privacy juga perlu dijaga. Remaja dalam tweet itu masih muda dan masih belajar, maka media sosial adalah medium luahannya.	68326	Neutral	27	4548	2022-02-15T11:47:40.740543Z	2022-02-15T11:47:40.740553Z	11.327
@ScherazadeMS Kalau di regional Asia Tenggara ngerinya sama Mba Muk	68324	Negative	27	4546	2022-02-15T11:47:21.598916Z	2022-02-15T11:47:21.598925Z	6.631
@nadhxrah menggigil bodo kalau dia typing	68323	Negative	27	4545	2022-02-15T11:47:14.647034Z	2022-02-15T11:47:14.647044Z	1.919
pemuda asia tenggara #hwsmalaysia, #hwsphilippines from @Desa96043762's story, #hwsindonesia and #hwsthailand https://t.co/gK020raeaq	68322	Neutral	27	4544	2022-02-15T11:47:12.429541Z	2022-02-15T11:47:12.429550Z	1.701
@m1nnnt I mean i ade utara juga from perlis to kedah and penang hahahaha	68321	Neutral	27	4543	2022-02-15T11:47:10.419069Z	2022-02-15T11:47:10.419079Z	5.812
@khldh00 ni tempat kita pergi haritu ke?	68320	Neutral	27	4542	2022-02-15T11:47:04.293465Z	2022-02-15T11:47:04.293486Z	1.243
happy birthday uri fullsun! moodboosternya sijeuni tetap jadi haechan yg ceria thanks for being my reason to be happy. Selalu bahagia yya dan jgn lupa selalu jaga kesehatan, you're best boy! #AllRounderHAECHANDay #HappyHAECHANDay #___ https://t.co/f9QuYjK82O	68319	Positive	27	4541	2022-02-15T11:47:02.735659Z	2022-02-15T11:47:02.735668Z	2.285
Skechers buat sales (campak phone)	68318	Negative	27	4540	2022-02-15T11:47:00.141580Z	2022-02-15T11:47:00.141589Z	6.577
Selalu. Skip, mute, block. Ga perlu diladenin. Kalo kesel ya bikin twit di timeline sendiri tanpa engage ke si pemb https://t.co/N3320woFvO	68317	Negative	27	4539	2022-02-15T11:46:53.222137Z	2022-02-15T11:46:53.222146Z	3.853
Memang tachiyomi tak update banyak ke semalam dgn harini	68316	Negative	27	4538	2022-02-15T11:46:49.077456Z	2022-02-15T11:46:49.077465Z	682.042
Nasib lah bilik dgn ruang tamu ada aircond.. Baba kuarantin dlm bilik.. Ruang tamu masih boleh bukak aircond.. Panasss bak hanggg..	68315	Neutral	27	4537	2022-02-15T11:35:26.653048Z	2022-02-15T11:35:26.653057Z	67.195
saya suggest @dyradyre @aminfaiz10 dua2 ni mempunyai suara yg terlalu komersial maybe adik2 sekolah boleh faham 10 https://t.co/pJRzLd4Tni	68314	Neutral	27	4536	2022-02-15T11:34:18.801124Z	2022-02-15T11:34:18.801134Z	8.703
memang nak peram parcel aku dekat pendang tu ke? dari semalam tak gerak2	68312	Negative	27	4534	2022-02-15T11:34:02.763483Z	2022-02-15T11:34:02.763492Z	2.136
5) Menilai Kualiti Kandungan. Selepas dah faham apa yang penulis cuba sampaikan, kita boleh nilai sama ada ia bena https://t.co/LnkjtBc3Nm	68311	Neutral	27	4533	2022-02-15T11:34:00.306917Z	2022-02-15T11:34:00.306926Z	7.221
@kayinnnk kirim ke aku aja karin	68310	Neutral	27	4532	2022-02-15T11:33:52.763604Z	2022-02-15T11:33:52.763613Z	3.138
Dah ni kenapa pulak nak potong bekalan air??? https://t.co/nk1QwPcYD7	68309	Negative	27	4531	2022-02-15T11:33:49.317691Z	2022-02-15T11:33:49.317701Z	1.364
Buku Lawas&gt; Perlawanan Terhadap Penjajahan Dan Perjuangan Menegakkan Kemerdekaan Indonesia di Bumi Bengkulu. Oleh https://t.co/xlrBpZPtS9	68308	Neutral	27	4530	2022-02-15T11:33:47.634145Z	2022-02-15T11:33:47.634155Z	8995.684
Kadang kadang tak rasa hina and keji ke jadi manusia?	68307	Negative	27	4529	2022-02-15T09:03:51.220097Z	2022-02-15T09:03:51.220113Z	2.293
